t,x(t),v(t),p(t),eKin(t),eSpr(t)
0.2165995,-2.723636,2.512127,25.12127,31.55392,0
0.2171995,-2.722125,2.518664,25.18664,31.71835,0
0.2177995,-2.72061,2.525197,25.25197,31.88311,0
0.2183995,-2.719091,2.531727,25.31727,32.0482,0
0.2189995,-2.717568,2.538253,25.38253,32.21363,0
0.2195995,-2.716041,2.544775,25.44775,32.37939,0
0.2201995,-2.71451,2.551293,25.51293,32.54549,0
0.2207995,-2.712976,2.557808,25.57808,32.71191,0
0.2213995,-2.711437,2.564319,25.64319,32.87867,0
0.2219995,-2.709894,2.570827,25.70827,33.04575,0
0.2225995,-2.708348,2.577331,25.77331,33.21317,0
0.2231995,-2.706798,2.583831,25.83831,33.3809,0
0.2237995,-2.705244,2.590327,25.90327,33.54897,0
0.2243995,-2.703686,2.59682,25.9682,33.71736,0
0.2249995,-2.702124,2.603308,26.03308,33.88607,0
0.2255995,-2.700558,2.609793,26.09793,34.05511,0
0.2261994,-2.698988,2.616275,26.16275,34.22447,0
0.2267994,-2.697414,2.622752,26.22752,34.39415,0
0.2273994,-2.695837,2.629226,26.29226,34.56415,0
0.2279994,-2.694255,2.635696,26.35696,34.73447,0
0.2285994,-2.69267,2.642162,26.42162,34.90511,0
0.2291994,-2.691081,2.648625,26.48625,35.07606,0
0.2297994,-2.689488,2.655083,26.55083,35.24733,0
0.2303994,-2.687891,2.661538,26.61538,35.41892,0
0.2309994,-2.68629,2.667989,26.67989,35.59082,0
0.2315994,-2.684686,2.674436,26.74436,35.76303,0
0.2321994,-2.683077,2.680879,26.80879,35.93556,0
0.2327994,-2.681465,2.687319,26.87319,36.10841,0
0.2333994,-2.679848,2.693754,26.93754,36.28156,0
0.2339994,-2.678228,2.700186,27.00186,36.45502,0
0.2345994,-2.676605,2.706614,27.06614,36.62878,0
0.2351994,-2.674977,2.713037,27.13037,36.80286,0
0.2357994,-2.673345,2.719457,27.19457,36.97724,0
0.2363994,-2.671709,2.725873,27.25874,37.15193,0
0.2369994,-2.67007,2.732285,27.32285,37.32692,0
0.2375994,-2.668427,2.738694,27.38694,37.50222,0
0.2381994,-2.66678,2.745098,27.45098,37.67781,0
0.2387993,-2.665129,2.751498,27.51498,37.85371,0
0.2393993,-2.663474,2.757895,27.57895,38.02991,0
0.2399993,-2.661816,2.764287,27.64287,38.20641,0
0.2405993,-2.660153,2.770675,27.70675,38.38321,0
0.2411993,-2.658487,2.77706,27.7706,38.5603,0
0.2417993,-2.656817,2.78344,27.8344,38.73769,0
0.2423993,-2.655143,2.789816,27.89816,38.91537,0
0.2429993,-2.653465,2.796189,27.96189,39.09335,0
0.2435993,-2.651783,2.802557,28.02557,39.27163,0
0.2441993,-2.650098,2.808921,28.08921,39.4502,0
